,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_name,GO,notes
TCONS_00001350,2087.81058,0.283741079,0.080137922,3.540659322,0.000399129,0.017791743,No Change,,,
TCONS_00001464,395.9737519,0.292343571,0.078632316,3.717855285,0.000200921,0.011195453,No Change,,,
TCONS_00000927,6139.254848,0.297680891,0.095630984,3.112807993,0.001853165,0.049125268,No Change,,,
TCONS_00000721,11263.48399,0.326651175,0.100522732,3.249525434,0.001155977,0.036981075,No Change,,,
TCONS_00002962,1795.673198,0.341209732,0.10908812,3.127835832,0.001760985,0.048002681,No Change,,,
TCONS_00003371,2952.489325,0.341744906,0.087823865,3.891253304,9.97E-05,0.006747651,No Change,,,
TCONS_00003381,3104.66798,0.364289391,0.076791236,4.743892814,2.10E-06,0.000378268,No Change,,,
TCONS_00001142,932.1269648,0.368307367,0.118131422,3.117776456,0.00182221,0.048967036,No Change,,,
TCONS_00001097,1082.233278,0.378349415,0.115613685,3.272531394,0.00106589,0.034816022,No Change,,,
TCONS_00003752,1978.991309,0.38003573,0.117587512,3.231939553,0.001229531,0.036981075,No Change,,,
TCONS_00000686,1238.837092,0.380074699,0.106083772,3.582778905,0.000339958,0.015708563,No Change,,,
TCONS_00000588,3413.636854,0.382828601,0.09363556,4.088495882,4.34E-05,0.00380057,No Change,,,
TCONS_00003754,3215.429228,0.394019957,0.112611326,3.498937175,0.000467117,0.020343735,No Change,,,
TCONS_00003469,8475.585952,0.402913799,0.10466915,3.849403566,0.000118406,0.00760406,No Change,,,
TCONS_00004499,1883.132766,0.40721109,0.102357877,3.978307318,6.94E-05,0.00525971,No Change,,,
TCONS_00003920,8606.459401,0.415637897,0.093770939,4.432480888,9.32E-06,0.001470684,No Change,,,
TCONS_00001236,1794.431772,0.416599614,0.106264847,3.920389705,8.84E-05,0.006320187,No Change,,,
TCONS_00000337,2141.305644,0.41910814,0.12664532,3.309306164,0.000935275,0.031960204,No Change,,,
TCONS_00000399,2091.735212,0.420059895,0.122389216,3.432164259,0.000598785,0.024395651,No Change,,,
TCONS_00000780,1985.528258,0.439364638,0.107563579,4.084697089,4.41E-05,0.00380057,No Change,,,
TCONS_00003334,2909.249096,0.444644791,0.135515325,3.28114027,0.001033883,0.0345476,No Change,,,
TCONS_00002412,2025.739654,0.446779038,0.13823106,3.232117567,0.001228765,0.036981075,No Change,,,
TCONS_00000414,8308.051781,0.463736572,0.141440835,3.278661155,0.001043008,0.0345476,No Change,,,
TCONS_00001266,12507.98186,0.4686941,0.14673567,3.194138814,0.001402487,0.040877091,No Change,,,
TCONS_00001096,725.5283652,0.469208541,0.107472528,4.36584634,1.27E-05,0.001875924,No Change,,,
