"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TCONS_00002588",231.751430342404,0.398696741338988,0.098852073230542,4.03326635759222,5.50068698938538e-05,0.0068997311061779
"TCONS_00002615",3599.58633158679,-0.622580438737287,0.192325854570936,-3.23711255632382,0.00120745776844331,0.0459795644036423
"TCONS_00000869",16347.5506351441,-0.334667793665146,0.0762077141207666,-4.39152121968646,1.12560347786617e-05,0.00242173588262907
"TCONS_00000870",2169.04026262289,-0.201282132918635,0.0585137533550408,-3.43991149734194,0.000581904438435084,0.0316953771972932
"TCONS_00000923",288.628737369228,0.299350762728958,0.0892776140577172,3.35303273825654,0.000799312513800641,0.0369832445901522
"TCONS_00004100",53.5331926677676,1.46637144560538,0.272334015496744,5.3844593850338,7.26627083248354e-08,0.000104222544640589
"TCONS_00000971",2303.43583777233,0.321264116269936,0.0961358061418925,3.34177377985226,0.000832448757268202,0.0373127812763028
"TCONS_00001096",725.528365197217,0.355221373181932,0.109155433755726,3.25427109727644,0.00113683735593122,0.0444183344374582
"TCONS_00001127",13214.7831620762,0.581462739092044,0.181954736818574,3.19564496785714,0.0013951867410112,0.0492240278269765
"TCONS_00002924",9696.32920429235,-0.446189066418864,0.134272409543944,-3.32301377426937,0.000890505171439334,0.0383184375270345
"TCONS_00001150",2502.75195882287,1.74637448210351,0.450015325168269,3.88070002160595,0.0001041562442719,0.0107371064002485
"TCONS_00002928",5452.58387143173,0.479905206973958,0.137416112033998,3.49235035011925,0.000478789799370479,0.0274697667558823
"TCONS_00001161",15677.6778950459,0.422139245227724,0.124100462324136,3.40159284922844,0.000669943664723281,0.0327587226057304
"TCONS_00001188",536.402604370865,-0.415283024158338,0.117726780183944,-3.52751534960416,0.00041947943889633,0.026896864409856
"TCONS_00002977",33831.9454877597,-1.21707042333833,0.247255993728743,-4.92230908130601,8.55289896631969e-07,0.000526889642537286
"TCONS_00003035",5616.94752766367,0.492493068274751,0.15396216750943,3.19879276994842,0.00138004329326376,0.0492240278269765
"TCONS_00003036",585.524361312217,0.842513665879841,0.251891587515553,3.34474713582017,0.00082357619431067,0.0373036669907244
"TCONS_00003037",861.135644356613,0.964756156483867,0.269823874227969,3.57550331394606,0.000349554747615184,0.025068901316469
"TCONS_00003050",5889.0241872644,-0.437013413508818,0.133179452928851,-3.28138766076991,0.00103297663840721,0.0422779456433518
"TCONS_00004047",8211.05430781348,0.3918450447644,0.0972669694753436,4.02855200360416,5.61214475287536e-05,0.0068997311061779
"TCONS_00003056",4209.22891415678,-0.368053643471884,0.106804143376143,-3.44606147137636,0.000568820951109525,0.0313954389845022
"TCONS_00003060",587.384480222106,0.420520686287857,0.122499039971485,3.4328488320051,0.000597275007472666,0.0319993377796529
"TCONS_00001274",651.396384321399,0.549494837963547,0.156267886457553,3.51636443302641,0.000437500018371215,0.026896864409856
"TCONS_00001299",3637.62354108281,-0.560712145175955,0.167476192367402,-3.34801106503478,0.000813937615596572,0.0372592931905537
"TCONS_00003119",1873.47130522557,0.632001840706368,0.110898496123623,5.69892165175849,1.20567615217863e-08,5.18802448282465e-05
"TCONS_00001325",164.10141629825,0.577948829036122,0.150786425325918,3.83289694537763,0.000126643016308823,0.0113737660602704
"TCONS_00001355",719.974590540811,0.459911197176027,0.128892585517263,3.56817419194707,0.000359477495931253,0.0253578961474128
"TCONS_00001401",1604.61852419909,-1.0923911811928,0.333425884796147,-3.27626387453594,0.0010519023055321,0.04230220206266
"TCONS_00001402",1048.05453472411,-1.16206654496262,0.350882709719532,-3.31183758211252,0.000926853391938632,0.0394876252030884
"TCONS_00003217",2067.21845624765,-0.934187299610834,0.231364024486179,-4.03773793996498,5.39690936375294e-05,0.0068997311061779
"TCONS_00003228",304.473558734323,-0.489239081914271,0.130188273584627,-3.75793509233571,0.000171321304908646,0.0139093504721114
"TCONS_00001426",774.145353753494,-0.717865369164494,0.158223022166678,-4.53704751264494,5.70472577647522e-06,0.0015342146885108
"TCONS_00001427",713.668016079769,-0.751803284332748,0.163838280535776,-4.58869125014153,4.46033554639789e-06,0.00138933882275892
"TCONS_00003257",850.190462011963,0.343918050093658,0.0911548892764698,3.7728974586384,0.000161362619046407,0.0133799876220982
"TCONS_00003258",1168.76436136285,0.322797429603303,0.081507079495058,3.96036064110081,7.48366565031533e-05,0.00870330089008294
"TCONS_00003947",12567.0347527135,0.14940863556823,0.0425805385644932,3.50884795273157,0.000450052111900915,0.026896864409856
"TCONS_00003296",203.344396345523,0.369291241238131,0.105136727477274,3.51248559945861,0.000443936061475276,0.026896864409856
"TCONS_00003298",1422.62547242951,-0.299759369370259,0.0856288364678831,-3.50068250060469,0.000464068366853238,0.0273546052406778
"TCONS_00003315",681.109726564448,-0.282803242914772,0.0861253678934156,-3.28362304663541,0.00102481896405175,0.0422779456433518
"TCONS_00003337",2052.04037148238,-0.211058404672558,0.0549160875250082,-3.84328917416858,0.000121396287275884,0.0113737660602704
"TCONS_00003433",1264.24168540568,-0.305153755763215,0.0879777991685513,-3.4685313641296,0.000523311438035758,0.0296290673403666
